mjsdxxb12q3bA01	16的平方根是（)<br/>
mjskbkszyb7B9c3ks09	要使\\[\\left( {{x}^{2}}+px+2 \\right)\\left( x-q \\right)\\]的结果中不含\\[x\\]的二次项，则\\[p\\]与\\[q\\]的关系为（     ）。<br/>
mjskbkszyb7B9c3ks1001	\\[\\left( x+3 \\right)\\left( x-7 \\right)=\\_\\_\\_\\_\\_;\\left( m-3 \\right)\\left( n+2 \\right)=\\_\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B9c3ks1002	若\\[\\left( x+a \\right)\\left( x+2 \\right)={{x}^{2}}-5x+b\\]，则\\[a\\]的值为________,\\[b\\]的值为________.<br/>
mjskbkszyb7B9c3ks1003	已知\\[m+n=mn\\]，则\\[(m-1)(n-1)\\]的值为________.<br/>
mjskbkszyb7B9c3ks1101	在长为\\[(3a+2)\\]、宽为\\[(2a+3)\\]的长方形铁皮上，剪去一个边长为\\[(a-1)\\]的小正方形，则剩余部分的面积为________；<br/>
mjskbkszyb7B9c3ks1102	如图，正方形卡片\\[A\\]类、\\[B\\]类和长方形卡片\\[C\\]类各有若干张，如果要拼一个长为\\[(a+2b)\\]、宽为\\[(a+b)\\]的大长方形，那么需要\\[C\\]类卡片________张；<br/>
mjskbkszyb7B9c3ks1103	若\\[\\left( 2x-3 \\right)\\left( 5-2x \\right)=a{{x}^{2}}+bx+c\\]，则\\[2a-b-c\\]的值为_________.<br/>
mjskbkszyb7B9c3ks12	计算：<br/>（1）\\[\\left( x-4 \\right)\\left( x+4 \\right)+{{x}^{2}}\\left( x-1 \\right)\\]；  （2）\\[\\left( m+3n \\right)\\left( m-n \\right)-m\\left( m-2n \\right)\\]；<br/>（3）\\[\\left( x-1 \\right)\\left( x+2 \\right)\\left( x-3 \\right)\\]；      （4）\\[\\left( 2x+3 \\right)\\left( 3x+4 \\right)-2\\left( x-1 \\right)\\left( x-2 \\right)\\]。<br/>
mjskbkszyb7B9c3ks13	已知梯形的上底长为\\[(5a+2b)\\text{cm}\\]，下底长为\\[(4a+3b)\\text{cm}\\]，它的高为\\[(2a+b)\\text{cm}\\]，求梯形的面积。 <br/>
mshsy11Adlzy0601	不等式\\[(a-2){{x}^{2}}+2(a-2)x-4<0\\]对于\\[x\\in R\\]恒成立，则\\[a\\]的取值范围是(   )<br/><br/>
mshsy11Adlzy0602	下列从集合A到集合B的对应中为映射的是（    ）<br/>
mshsy11Adlzy0603	已知\\[f\\left( \\frac{1-x}{1+x} \\right)=\\frac{1-{{x}^{2}}}{1+{{x}^{2}}}\\]，则\\[f\\left( x \\right)\\]的解析式可取为（   ）<br/>
mshsy11Adlzy0604	已知函数\\[y={{x}^{2}}-2x+3\\]在闭区间\\[\\left[ 0,m \\right]\\]上有最大值3，最小值2，则\\[m\\]的取值范围 (   )<br/>
mshsy11Adlzy0605	已知函数<br/>\	\\[f(x)=\\left\\{ \\begin{align}  & (2a-1)x+a,x\\ <1 \\\\  & {{\\log }_{a}}x,x\\ge 1 \\\\ \\end{align} \\right.\\]是\\[R\\]上的减函数，则实数\\[a\\]的取值范围是（   ）<br/>
mshsy11Adlzy0606	\	\\[f(x)=\\left\\{ \\begin{align}  & {{(x-a)}^{2}},x\\le 0, \\\\  & x+\\frac{1}{x}+a,x>0, \\\\ \\end{align} \\right.\\]若\\[f(0)\\]是\\[f(x)\\]的最小值，则\\[a\\]的取值范围为（   ）<br/>
mshsy11Adlzy0607	已知\\[{{\\log }_{6}}27=a\\]，则\\[{{\\log }_{18}}16\\]用\\[a\\]表示为       .<br/>
mshsy11Adlzy0608	函数\\[f(x)=\\sqrt{x+1}-\\sqrt{1-x}\\]的最小值为        .<br/>
mshsy11Adlzy0609	已知函数\\[f\\left( x \\right),\\ g\\left( x \\right)\\]分别由下表给出：<br/> <br/><img src='http://qfile.bd.starclink.com/bigdata_q_mshsy11Adlzy0609__img_0.png?t=1510130935445' style='width:338.96pt;height:50.99pt;max-width:100%;'/><br/>则满足\\[g\\left[ f\\left( x \\right) \\right]\\le \\ x\\]的\\[x\\]的值为         .<br/>
mshsy11Adlzy0610	设\\[f(x)=x({{e}^{x}}+a{{e}^{-x}})\\]为偶函数，则实数\\[a=\\]                     。<br/>
mshsy11Adlzy0611	已知<br/>\\[f(x)=\\left\\{ \\begin{align}  & {{x}^{2}}+x,x<0 \\\\  & -{{x}^{2}},x\\ge 0 \\\\ \\end{align} \\right.\\]，若\\[f\\left[ f\\left( a \\right) \\right]\\ \\ \\le \\ 2\\]，则实数\\[a\\]的取值范围是       .<br/>
mshsy11Adlzy0612	将边长为1米的正三角形薄片，沿一条平行于底边的直线剪成两块，其中一块是梯形，<br/>   记<img src='http://qfile.bd.starclink.com/bigdata_q_mshsy11Adlzy0612__img_0.png?t=1510130954960'/>，则\\[S\\]的最小值是        .<br/>
mshsy11Adlzy0613	已知全集为<img src='http://qfile.bd.starclink.com/bigdata_q_mshsy11Adlzy0613__img_0.png?t=1510130963492'/>，集合\\[A=\\left\\{ x\\parallel {{x}^{2}}-2x|<x \\right\\}\\]，\\[B=\\left\\{ x\\left| \\frac{4x+11}{{{x}^{2}}-1}\\ge 1 \\right. \\right\\}\\] ，若集合\\[C=\\left\\{ x\\left| a{{x}^{2}}+x+b\\le 0 \\right. \\right\\}\\]同时满足\\[A\\bigcap B\\bigcap C=\\varnothing \\]，且\\[(A\\bigcap B)\\bigcup C=R\\]，求实数\\[a\\]与\\[b\\]的值．<br/>
mshsy11Adlzy0614	计算\\[{{\\log }_{2.5}}6.25+\\ln \\sqrt{e}-{{(0.064)}^{-\\frac{1}{3}}}+{{2}^{{{\\log }_{\\frac{1}{2}}}\\sqrt{3}}}\\] <br/><br/>
mshsy11Adlzy0615	已知二次函数<img src='http://qfile.bd.starclink.com/bigdata_q_mshsy11Adlzy0615__img_0.png?t=1510130981039'/>满足\\[f(x)-f(x+1)=-2x\\]且\\[f(0)=1\\]．<br/>（1）求\\[f(x)\\]的解析式；<br/> (2) 当\\[x\\in [-1,1]\\]时，不等式：\\[f(x)>2x+m\\] 恒成立，求实数\\[m\\]的范围．<br/>（3）设\\[G(t)=f(2t+a),t\\in [-1,1]\\]，求\\[G(t)\\]的最大值；<br/><br/>
mjkkl8Bp09dycsA07	如图，平行四边形ABCD中，AB=5，AD=3，AE平分∠DAB交BC的延长线于点F，则CF=____. <br/>
mjkkl8Bp09fx13	已知菱形ABCD的两条对角线分别为6和8，M、N分别是边BC、CD的中点，P是对角线BD上的一点，则PM+PN的最小值=____. <br/>
mjkkl8Bp09l503	如图，A、B两点分别位于一个池塘的两端，小聪想用绳子测量A、B间的距离，但绳子不够长，一位同学帮他想了一个主意：先在地上取可以直接到达A、B的点C，分别找到AC、BC的中点D、E，并且测出DE的长为10m，则A、B间的距离为____. <br/>
mjsdxxb27qqmksj17	如图,矩形\\[ABCD\\]中，\\[AB=4,AD=3\\], 点\\[Q\\]在对角线\\[AC\\]上，且\\[AQ=AD\\]，连接\\[DQ\\]并延长，与边\\[BC\\]交于点\\[P\\],则线段\\[AP=\\]________.<br/>
mjkkl8Bp09l3-112	已知：如图，在<img src='http://qfile.bd.starclink.com/bigdata_q_mjkkl8Bp09l3-112__img_0.png?t=1521446792438' style='width:10.50pt;height:9.75pt;max-width:100%;'/>\\[ABCD\\] 中，点E、F在对角线BD上，且BE=DF，连接AE、FC. 求证：AE=FC. <br/>
mjmkylkszyb8Bp09c1114	如图，在四边形ABCD中，P是对角线BD的中点，E、F分别是AB、CD的中点，AD=BC，∠PEF=18°，求∠PFE的度数.<br/>
mjmkylkszyb8Bp09c1211	如图，在矩形ABCD中，对角线BD的垂直平分线MN与AD相交于点M，与BC相交于点N，连接BM、DN.<br/>（1）求证：四边形BMDN是菱形；<br/>（2）若AB=4，AD=8，求MD的长.<br/>
mjxkcnlzc9Bu0844	如图所示，菱形ABCD的对角线AC，BD相交于点O，DE//AC，CE//BD.求证：四边形OCED是矩形.<br/>
mjskbkszyb7B9c4ks01	运用乘法公式计算\\[{{\\left( x+3 \\right)}^{2}}\\]的结果是（   ）.<br/>
mjskbkszyb7B9c4ks02	下列计算正确的是（   ）.<br/>
mjskbkszyb7B9c4ks03	若要使等式\\[{{\\left( p+q \\right)}^{2}}+M={{\\left( p-q \\right)}^{2}}\\]成立，则代数式\\[M\\]应为（   ）.<br/>
mjskbkszyb7B9c4ks0401	\\[{{\\left( 2x+y \\right)}^{2}}=\\_\\_\\_\\_;{{\\left( 3a-4 \\right)}^{2}}=\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c4ks0402	简便计算：\\[{{98}^{2}}={{(\\_\\_\\_\\_-\\_\\_\\_\\_)}^{2}}=\\_\\_\\_\\_=\\_\\_\\_\\_\\]；\\[{{101}^{2}}={{\\left( \\_\\_\\_\\_+\\_\\_\\_\\_ \\right)}^{2}}=\\_\\_\\_\\_=\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c4ks0403	若\\[a+b=3,{{a}^{2}}+{{b}^{2}}=7\\]，则\\[ab\\]的值为________。<br/>
mjskbkszyb7B9c4ks0404	如果\\[{{x}^{2}}-kxy+9{{y}^{2}}\\]是一个完全平方公式展开后的结果，那么常数\\[k\\]的值为____。<br/>
mjskbkszyb7B9c4ks05	计算：<br/>（1）\\[{{\\left( 1+4a \\right)}^{2}}\\]；         （2）\\[{{\\left( -5+3y \\right)}^{2}}\\]；<br/>（3）\\[{{\\left( {{x}^{2}}-6y \\right)}^{2}}\\]；       （4）\\[{{\\left( -2x-\\frac{1}{3} \\right)}^{2}}\\]<br/>（5）\\[3a\\left( {{a}^{2}}+2a+1 \\right)-2{{\\left( a+1 \\right)}^{2}}\\]<br/>（6）\\[{{\\left( \\frac{1}{2}x+2y \\right)}^{2}}+{{\\left( \\frac{1}{2}x-2y \\right)}^{2}}\\]。<br/>
mjskbkszyb7B9c4ks06	若\\[{{\\left( 2x+m \\right)}^{2}}=4{{x}^{2}}+4mx+1\\]，则（    ）。<br/>
mjskbkszyb7B9c4ks07	计算\\[\\left( 2x-1 \\right)\\left( 1-2x \\right)\\]的结果正确的是（   ）。<br/>
mjskbkszyb7B9c4ks08	图①是一个长为\\[2a\\]、宽为\\[2b\\]（\\[a>b\\]）的长方形，用剪刀沿图中虚线剪开，把它分成四块形状和大小都一样的小长方形，然后按图②所示拼成一个正方形，则中间空的部分的面积是（    ）。<br/>
mjskbkszyb7B9c4ks0901	\\[{{\\left[ 3a+\\left( \\_\\_\\_\\_\\_ \\right) \\right]}^{2}}=9{{a}^{2}}-6ab+{{b}^{2}}\\]；\\[{{\\left( \\_\\_\\_\\_\\_ \\right)}^{2}}={{x}^{2}}-8xy+\\left( \\_\\_\\_\\_\\_ \\right)\\]。<br/>
mjskbkszyb7B9c4ks0902	如果\\[{{\\left( x+n \\right)}^{2}}={{x}^{2}}+mx+1\\]，且\\[m>0\\]，那么\\[n\\]的值是_____。<br/>
mjskbkszyb7B9c4ks10	计算：<br/>（1）\\[{{\\left( \\frac{1}{2}x-\\frac{5}{3}y \\right)}^{2}}\\]；         （2）\\[{{\\left( a+3 \\right)}^{2}}-2\\left( 3a+4 \\right)\\]；<br/>（3）\\[\\left( 2a+7b \\right)\\left( -2a-7b \\right)\\]； （4）\\[{{\\left( -3{{x}^{n+1}}+\\frac{1}{3}{{y}^{n-1}} \\right)}^{2}}\\]。<br/>
mjskbkszyb7B9c4ks11	利用乘法公式计算：<br/>（1）\\[{{49.8}^{2}}\\]；     （2）\\[{{302}^{2}}\\]。<br/>
mjskbkszyb7B9c4ks12	若\\[m+n=3,mn=2\\]，\\[{{(m-n)}^{2}}\\]的值。<br/>
mjskbkszyb8B7c5ks01	频率不可能取到的数为（    ）<br/>
mjskbkszyb8B7c5ks02	王老师对本班\\[\\text{40}\\]名学生的血型进行了统计，列出如下的统计表，则本班\\[\\text{A}\\]型血的人数（    ）<br/>
mjskbkszyb8B7c5ks03	已知样本：\\[14\\]，\\[8\\]，\\[10\\]，\\[7\\]，\\[9\\]，\\[7\\]，\\[12\\]，\\[11\\]，\\[13\\]，\\[8\\]，\\[10\\]，\\[10\\]，\\[8\\]，\\[11\\]，\\[10\\]，\\[11\\]，\\[13\\]，\\[9\\]，\\[12\\]，\\[9\\].该样本数据落在\\[8.5\\sim 11.5\\]范围内的频率是（    ）<br/>
mjskbkszyb8B7c5ks06	某校为了解学生的每周平均课外阅读时间，在本校随机抽取若干名学生进行调查，并将调查结果绘制成如下不完整的统计图表，请根据图表中所给的信息，解答下列问题：<br/>(1)图表中\\[m=\\]________，\\[n=\\] ________；<br/>(2)扇形统计图中\\[\\text{F}\\]组所对应的圆心角为_________\\[{}^\\circ \\]；<br/>(3)该校共有学生\\[1500\\]名，请估计该校有多少名学生的每周平均课外阅读时间不低于\\[3\\]小时.<br/>
mjskbkszyb8B7c5ks12	为响应习总书记足球进校园的号召，某学校积极开展与足球有关的宣传与实践活动.学生会体育部为了解本学校对足球运动的态度，随机抽取了部分学生进行调查，并绘制了如下统计图表（部分信息未给出）.<br/>(1)在上面的统计表中，\\[m=\\] _________， \\[n=\\]_________；<br/>(2)请你将条形统计图补充完整；<br/>(3)该校共有学生\\[1200\\]人，根据统计信息，估计爱好足球运动（包括“喜欢”和“非常喜欢”）的学生有多少人. <br/>
mjskbkszyb8B7c5ks13	某校环保志愿者协会对该市城区空气质量进行调查，从全年\\[365\\]天中随机抽取了\\[80\\]天的空气质量指数（\\[\\text{AQI}\\]）数据，绘制出如下不完整的统计图、表. <br/>(1)在统计表中，\\[m=\\] _________， \\[n=\\]_________；<br/>(2)扇形统计图中，空气质量为“良”的天数占________\\[\\%\\]，空气质量等级为“中度污染”的扇形圆心角的度数为_________；<br/>(3)估计该市城区全年空气质量等级为“优”和“良”的共有多少天；<br/>(4)据调查，严重污染的\\[2\\]天发生在春节期间，燃放烟花爆竹成为空气污染的一个重要原因，据此，请你提出一条合理化建议.<br/>
mjskbkszyb8B7c4ks07	富春包子”是扬州特色早点，富春茶社为了了解顾客对各种早点的喜爱情况，设计了如图①的调查问卷，对顾客进行了抽样调查.根据统计数据绘制了如图②③尚不完整的统计图.<br/>根据以上信息，解决下面的问题：<br/>(1)条形统计图中，“汤包”的人数是_______；扇形统计图中，“蟹黄包”部分的圆心角度数为______\\[{}^\\circ \\].<br/>(2)根据调查结果，可以估计富春茶社\\[1000\\]名顾客中喜欢“汤包”的大约有_______人.<br/>
mjskbkszyb8B7c4ks08	为给研究制定《中考改革实施方案》提出合理化建议，教研人员对九年级学生进行了随机抽样调查，要求被抽查的学生从物理、化学、政治、历史、生物和地理这六个选考科目中，挑选出一科作为自己的首选科目，将调查数据汇总整理后，绘制出了如图所示的两幅不完整的统计图，请你根据图中信息解答下列问题：<br/>(1)被抽查的学生共有多少人？<br/>(2)将折线统计图补充完整.<br/>(3)我市现有九年级学生约\\[40000\\]人，请你估计首选科目是物理的学生人数.<br/>
mjskbkszyb8B7c4ks09	为了了解\\[2017\\]年某地区\\[10\\]万名大、中、小学生\\[50\\]米跑成绩情况，教育部门从这三类学生群体中各抽取了\\[10\\%\\]的学生进行检测，整理样本数据，并结合\\[2013\\]年抽样结果，得到如下统计图：<br/>(1)本次检测抽取了大、中、小学生共______名，其中小学生______名；<br/>(2)根据抽样的结果，估计\\[2017\\]年该地区\\[10\\]万名大、中、小学生中，\\[50\\]米跑成绩合格的中学生有多少名.<br/>(3)比较\\[2013\\]年与\\[2017\\]年抽样学生\\[50\\]米跑成绩合格率情况，写出一条正确的结论.<br/>
mjskbkszyb8B7c4ks10	某中学八年级学生共\\[450\\]名，其中男生\\[250\\]名，女生\\[200\\]名.该校对八年级所有学生进行了一次体育测试，并随机抽取了\\[50\\]名男生和\\[40\\]名女生的测试成绩作为样本进行分析，绘制成如下的统计表：<br/>(1)请解释“随机抽取了\\[50\\]名男生和\\[40\\]名女生”的合理性；<br/>(2)从上表的“人数”“百分比”两列数据中选择一列，用适当的统计图表示；<br/>(3)估计该校八年级体育测试成绩不及格的人数.\	<br/>
mj18hsy7B04zcsj01	下列各度数不是多边形的内角和的是(    )<br/>
mj18hsy7B04zcsj02	如果一个等腰三角形的两边长分别是5cm和6cm，那么三角形的周长（　　）<br/>
mj18hsy7B04zcsj03	如图，\\[AD\\text{//}BC\\]，\\[BD\\]平分\\[\\angle ABC\\]，若\\[\\angle A={{100}^{\\circ }}\\]，则\\[\\angle DBC\\]的度数等于    (    )<br/>
mj18hsy7B04zcsj04	若\\[{{a}^{m}}=2\\]，\\[{{a}^{n}}=3\\]，则\\[{{a}^{m+n}}\\]等于  (     )<br/>
mj18hsy7B04zcsj05	在等式\\[{{a}^{3}}\\cdot {{a}^{2}}\\cdot \\left( \\quad  \\right)={{a}^{11}}\\]中，括号里填入的代数式应当是 (      )<br/>
mj18hsy7B04zcsj06	下列4个算式中,计算错误的有 (     )<br/>(1)\\[{{\\left( -c \\right)}^{4}}\\div {{\\left( -c \\right)}^{2}}=-{{c}^{2}}\\]  ；(2)\\[{{\\left( -y \\right)}^{6}}\\div {{\\left( -y \\right)}^{3}}=-{{y}^{3}}\\]； (3)\\[{{z}^{3}}\\div {{z}^{0}}={{z}^{3}}\\] ；(4)\\[{{a}^{4m}}\\div {{a}^{m}}={{a}^{4}}\\]                           <br/>
mj18hsy7B04zcsj07	如图，已知直线\\[AB\\text{//}CD\\]，\\[\\angle C={{115}^{\\circ }}\\]，\\[\\angle A={{25}^{\\circ }}\\]，则\\[\\angle E\\]等于(    )<br/>
mj18hsy7B04zcsj08	下列所示的四个图形中，\\[\\angle 1\\]和\\[\\angle 2\\]是同位角的是(    )<br/>
mj18hsy7B04zcsj09	计算\\[{{25}^{m}}\\div {{5}^{m}}\\]的结果为(      )                                              <br/>
mj18hsy7B04zcsj10	已知\\[a={{2}^{66}}\\]，\\[b={{3}^{55}}\\] ，\\[c={{4}^{44}}\\]，那么\\[a\\]、\\[b\\]、\\[c\\]的大小关系是（   ）<br/>
mj18hsy7B04zcsj11	用科学记数法表示<img src='http://qfile.bd.starclink.com/bigdata_q_mj18hsy7B04zcsj11__img_0.png?t=1522659906863' style='width:153.73pt;height:16.50pt;max-width:100%;'/><br/>
mj18hsy7B04zcsj12	如果一个多边形的内角和等于外角和的2倍，那么这个多边形边数＝________．<br/>
mj18hsy7B04zcsj13	\\[{{\\left( 2\\times 4-12\\div 2 \\right)}^{0}}\\]结果为________． <br/>
mj18hsy7B04zcsj14	若\\[{{a}^{x}}=2\\]，则\\[{{a}^{3x}}=\\_\\_\\_\\_\\_\\_\\_.\\]            <br/>
mj18hsy7B04zcsj15	\\[\\vartriangle ABC\\]中，\\[\\angle A=\\frac{1}{2}\\angle B=\\frac{1}{3}\\angle C\\]，则\\[\\vartriangle ABC\\]是_______三角形．<br/>
mj18hsy7B04zcsj16	计算：\\[{{2}^{2010}}\\times {{\\left( -\\frac{1}{2} \\right)}^{2009}}=\\_\\_\\_\\_\\_\\_\\_\\_\\_.\\] <br/>
mj18hsy7B04zcsj17	若\\[\\left| a-2 \\right|+{{\\left( b+1 \\right)}^{2}}=0\\]，则\\[{{\\left( -3ab \\right)}^{2}}\\cdot \\left( -ab \\right)=\\_\\_\\_\\_\\_\\_\\_\\_.\\]         <br/>
mj18hsy7B04zcsj18	计算题：<br/>(1)\\[{{3}^{0}}-{{2}^{3}}+{{\\left( -3 \\right)}^{2}}-{{\\left( \\frac{1}{2} \\right)}^{-1}}\\]                         <br/>(2)\\[{{\\left( a-b \\right)}^{2}}\\cdot {{\\left( a-b \\right)}^{10}}\\cdot \\left( b-a \\right)\\] <br/>
mj18hsy7B04zcsj19	画图并填空：<br/>(1)画出把\\[\\vartriangle ABC\\]向右平移6格后得到的\\[\\vartriangle {{A}_{1}}{{B}_{1}}{{C}_{1}}\\]；<br/>(2)画出图中\\[\\vartriangle {{A}_{1}}{{B}_{1}}{{C}_{1}}\\]向下平移2格后得到的\\[\\vartriangle {{A}_{2}}{{B}_{2}}{{C}_{2}}\\]；<br/>(3)连接\\[A{{A}_{2}}\\]、\\[B{{B}_{2}}\\]，则这两条线段的关系为_______和_______．<br/>
mj18hsy7B04zcsj20	先化简，再求值：\\[{{\\left( -2{{a}^{2}} \\right)}^{2}}\\cdot {{a}^{-2}}-{{\\left( -8{{a}^{4}} \\right)}^{2}}\\div {{\\left( -2{{a}^{2}} \\right)}^{3}}\\]，其中\\[a=-2\\]．<br/>
mj18hsy7B04zcsj21	已知\\[3\\times {{9}^{m}}\\times {{27}^{m}}={{3}^{21}}\\]，求\\[m\\]的值．<br/>
mj18hsy7B04zcsj22	已知\\[A=-2ab,B=4ab\\left( a-b \\right)\\],求\\[A\\cdot B\\].<br/>
mj18hsy7B04zcsj23	如图，\\[AD\\text{//}BC\\]，\\[\\angle A={{96}^{\\circ }}\\]，\\[\\angle D={{104}^{\\circ }}\\]，\\[BE\\]、\\[CE\\]分别是\\[\\angle ABC\\]和\\[\\angle BCD\\]的角平分线，求\\[\\angle BEC\\]的度数．<br/>
mj18hsy7B04zcsj24	如图，\\[AD\\bot BC\\]，\\[EG\\bot BC\\]，垂足分别为\\[D\\]、\\[G\\]，\\[\\angle E=\\angle AFE\\]．试说明\\[AD\\]是\\[\\vartriangle ABC\\]的角平分线．<br/>
mjskbkszyb7B9c6ks01	若\\[{{\\left( 3x+2y \\right)}^{2}}={{\\left( 3x-2y \\right)}^{2}}+A\\]，则代数式\\[A\\]为（    ）。<br/>
mjskbkszyb7B9c6ks0201	如果\\[4{{x}^{2}}-ax+121\\]是一个完全平方公式展开后的结果，那么常数\\[a\\]的值为____；<br/>
mjskbkszyb7B9c6ks0202	化简：\\[4x\\cdot x+\\left( 2x-1 \\right)\\left( 1-2x \\right)=\\_\\_\\_\\_\\_\\_\\_\\]，当\\[x=\\frac{1}{40}\\]时，该式的值为___________。<br/>
mjskbkszyb7B9c6ks03	用乘法公式计算：<br/>（1）\\[\\left( x+1 \\right)\\left( x-1 \\right)\\left( {{x}^{2}}+1 \\right)\\left( {{x}^{4}}+1 \\right)\\]；<br/>（2）\\[\\left[ {{\\left( x+y \\right)}^{2}}+{{\\left( x-y \\right)}^{2}} \\right]\\left( 2{{x}^{2}}-2{{y}^{2}} \\right)\\]；<br/>（3）\\[{{\\left( m-n-3 \\right)}^{2}}\\]；<br/>（4）\\[{{\\left( 2x+3y \\right)}^{2}}{{\\left( 2x-3y \\right)}^{2}}\\]。<br/>
mjskbkszyb7B9c6ks04	先化简，再求值：\\[{{\\left( 2a-1 \\right)}^{2}}-2\\left( a+1 \\right)\\left( a-1 \\right)-a\\left( a-2 \\right)\\]，其中\\[{{a}^{2}}-2a-1=0\\]。<br/>
mjskbkszyb7B9c6ks05	已知\\[m\\left( m-3 \\right)-\\left( {{m}^{2}}-3n \\right)=9\\]，求\\[mn-\\frac{{{m}^{2}}+{{n}^{2}}}{2}\\]的值。<br/>
mjskbkszyb7B9c6ks06	如图，下列给出的正方形\\[ABCD\\]的面积的四个表达式，其中错误的是（    ）。<br/>
mjskbkszyb7B9c6ks07	不论\\[a\\]、\\[b\\]取何有理数，代数式\\[{{a}^{2}}+{{b}^{2}}-2a-4b+5\\]的值总是（    ）。<br/>
mjskbkszyb7B9c6ks08	请你计算：\\[\\left( 1-x \\right)\\left( 1+x \\right),\\left( 1-x \\right)\\left( 1+x+{{x}^{2}} \\right),\\cdots \\]猜想\\[\\left( 1-x \\right)\\left( 1+x+{{x}^{2}}+\\cdots +{{x}^{n}} \\right)\\]的结果是（   ）。<br/>
mjskbkszyb7B9c6ks0901	\\[{{\\left( x+2 \\right)}^{2}}-4x\\left( x+1 \\right)=\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c6ks0902	\\[{{\\left( 2a+b \\right)}^{2}}-\\left( 2a-3b \\right)\\left( 2a+3b \\right)=\\_\\_\\_\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B9c6ks10	利用乘法公式计算：<br/>（1）\\[{{\\left( -m-3 \\right)}^{2}}{{\\left( m-3 \\right)}^{2}}\\]；                      （2）\\[{{\\left( a+\\frac{1}{2}b \\right)}^{2}}-{{\\left( a-\\frac{1}{2}b \\right)}^{2}}\\]；<br/>（3）\\[{{\\left( x+y \\right)}^{2}}+2\\left( x+y \\right)\\left( y-x \\right)+{{\\left( x-y \\right)}^{2}}\\]；     （4）\\[\\left( x+3y-2z \\right)\\left( x-3y+2z \\right)\\]。<br/>
mjskbkszyb7B9c6ks11	如图①，从边长为\\[a\\]的正方形纸片中剪去一个边长为\\[b\\]的小正方形，再沿着线段\\[AB\\]剪开，把剪成的两张纸拼成如图②所示的梯形.<br/>（1）设图①中阴影部分的面积为\\[{{S}_{1}}\\]，图②中阴影部分的面积为\\[{{S}_{2}}\\]，则\\[{{S}_{1}}=\\_\\_\\_\\_,{{S}_{2}}=\\_\\_\\_\\_\\]（用含\\[a\\]、\\[b\\]的代数式表示）；<br/>（2）上述剪拼过程所揭示的乘法公式是什么？<br/>
mjskbkszyb7B9c6ks12	求\\[\\left( 2+1 \\right)\\times \\left( {{2}^{2}}+1 \\right)\\times \\left( {{2}^{4}}+1 \\right)\\times \\cdots \\times \\left( {{2}^{32}}+1 \\right)+1\\]的个位数字.\	<br/>
mjskbkszyb7B9c5ks01	下列多项式的乘法中，可以运用平方差公式计算的是（   ）<br/>
mjskbkszyb7B9c5ks02	若\\[\\left( 9+{{x}^{2}} \\right)\\left( x+3 \\right)\\left( \\_\\_\\_ \\right)=81-{{x}^{4}}\\]，则括号内应填入的代数式是（     ）。<br/>
mjskbkszyb7B9c5ks0301	\\[\\left( a-2 \\right)\\left( a+2 \\right)=\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c5ks0302	\\[(\\_\\_\\_\\_)(5-x)=25-{{x}^{2}}\\]；<br/>
mjskbkszyb7B9c5ks0303	\\[\\left( 2a+4b \\right)\\left( \\_\\_\\_\\_\\_ \\right)=16{{b}^{2}}-4{{a}^{2}}\\]；<br/>
mjskbkszyb7B9c5ks0304	\\[\\left( {{x}^{n}}+{{y}^{n}} \\right)\\left( \\_\\_\\_\\_\\_ \\right)={{x}^{2n}}-{{y}^{2n}}\\]。<br/>
mjskbkszyb7B9c5ks04	化简：\\[\\left( x+2 \\right)\\left( x-2 \\right)+x\\left( 4-x \\right)=\\_\\_\\_\\_\\_\\_\\_.\\] <br/>
mjskbkszyb7B9c5ks05	已知\\[a+b=10,a-b=8,\\]则\\[{{a}^{2}}-{{b}^{2}}\\]的值为________。<br/>
mjskbkszyb7B9c5ks06	用乘法公式计算：<br/>（1）\\[\\left( 1+2x \\right)\\left( 1-2x \\right)\\]；           （2）\\[\\left( -3m+2n \\right)\\left( -3m-2n \\right)\\]；<br/>（3）\\[\\left( {{m}^{2}}-5n \\right)\\left( 5n+{{m}^{2}} \\right)\\]；       （4）\\[\\left( -4{{x}^{2}}-3y \\right)\\left( 4{{x}^{2}}-3y \\right)\\]；<br/>（5）\\[2017\\times 1983\\]；（6）\\[29\\frac{6}{7}\\times 30\\frac{1}{7}\\]。<br/>
mjskbkszyb7B9c5ks07	下列运算正确的是（   ）。<br/>
mjskbkszyb7B9c5ks08	下列运算正确的是（    ）。<br/>
mjskbkszyb7B9c5ks09	化简：\\[a\\left( 1-4a \\right)+\\left( 2a+1 \\right)\\left( 2a-1 \\right)=\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B9c5ks10	一个长方体游泳池的长为\\[\\left( 4{{a}^{2}}+9{{b}^{2}} \\right)\\text{m}\\]，宽为\\[(2a+3b)\\text{m}\\]，高为\\[(2a-3b)\\text{m}\\]，则这个游泳池的容积是_____\\[{{\\text{m}}^{\\text{3}}}\\]。<br/>
